Attending District Institutional ID,District,Attending School Institutional ID,School
2063,Adel SD 21,498,Adel Elementary School
2113,Adrian SD 61,707,Adrian Elementary School
2113,Adrian SD 61,708,Adrian High School
1899,Alsea SD 7J,17,Alsea Charter School
2252,Amity SD 4J,1208,Amity Elementary School
2252,Amity SD 4J,1210,Amity High School
2252,Amity SD 4J,1209,Amity Middle School
2252,Amity SD 4J,4505,Eola Hills Charter School
2111,Annex SD 29,705,Annex Charter School
2111,Annex SD 29,2111,Annex SD 29
2005,Arlington SD 3,323,Arlington Community Charter School
2115,Arock SD 81,711,W W Jones Elementary School
2041,Ashland SD 5,381,Ashland High School
2041,Ashland SD 5,380,Ashland Middle School
2041,Ashland SD 5,2041,Ashland SD 5
2041,Ashland SD 5,375,Bellview Elementary School
2041,Ashland SD 5,377,Helman Elementary School
2041,Ashland SD 5,4476,John Muir Elementary School 
2041,Ashland SD 5,379,Walker Elementary School
2051,Ashwood SD 8,427,Ashwood Elementary School
1933,Astoria SD 1,143,Astor Elementary School
1933,Astoria SD 1,144,Astoria Middle School
1933,Astoria SD 1,1933,Astoria SD 1
1933,Astoria SD 1,146,Astoria Senior High School
1933,Astoria SD 1,147,Lewis & Clark Elementary School
2208,Athena-Weston SD 29RJ,1053,Athena Elementary School
2208,Athena-Weston SD 29RJ,1055,Weston Middle School
2208,Athena-Weston SD 29RJ,1056,Weston-McEwen High School
1894,Baker SD 5J,4759,Baker Early College
1894,Baker SD 5J,8,Baker High School
1894,Baker SD 5J,1,Baker Middle School
1894,Baker SD 5J,1894,Baker SD 5J
1894,Baker SD 5J,4728,Baker Web Academy
1894,Baker SD 5J,2,Brooklyn Primary School
1894,Baker SD 5J,3493,EAGLE CAP Innovative HS
1894,Baker SD 5J,4,Haines Elementary School
1894,Baker SD 5J,5,Keating Elementary School
1894,Baker SD 5J,7,South Baker Intermediate School
1969,Bandon SD 54,218,Bandon Senior High School
1969,Bandon SD 54,216,Harbor Lights Middle School
1969,Bandon SD 54,217,Ocean Crest Elementary School
2240,Banks SD 13,1120,Banks Elementary School
2240,Banks SD 13,1124,Banks High School
2240,Banks SD 13,1123,Banks Middle School
2240,Banks SD 13,2240,Banks SD 13
2243,Beaverton SD 48J,1186,Aloha High School
2243,Beaverton SD 48J,1153,Aloha-Huber Park School
2243,Beaverton SD 48J,4805,Arco Iris Spanish Immersion School
2243,Beaverton SD 48J,1304,Arts and Communication Magnet Academy
2243,Beaverton SD 48J,1154,Barnes Elementary School
2243,Beaverton SD 48J,1155,Beaver Acres Elementary School
2243,Beaverton SD 48J,1187,Beaverton High School
2243,Beaverton SD 48J,2243,Beaverton SD 48J
2243,Beaverton SD 48J,1156,Bethany Elementary School
2243,Beaverton SD 48J,4671,Bonny Slope Elementary School
2243,Beaverton SD 48J,1158,Cedar Mill Elementary School
2243,Beaverton SD 48J,1180,Cedar Park Middle School
2243,Beaverton SD 48J,1159,Chehalem Elementary School
2243,Beaverton SD 48J,1305,Community School
2243,Beaverton SD 48J,1319,Conestoga Middle School
2243,Beaverton SD 48J,1160,Cooper Mountain Elementary School
2243,Beaverton SD 48J,1162,Elmonica Elementary School
2243,Beaverton SD 48J,1161,Errol Hassell Elementary School
2243,Beaverton SD 48J,1370,Findley Elementary
2243,Beaverton SD 48J,1163,Fir Grove Elementary School
2243,Beaverton SD 48J,1181,Five Oaks Middle School
2243,Beaverton SD 48J,1157,Greenway Elementary School
2243,Beaverton SD 48J,1164,Hazeldale Elementary School
2243,Beaverton SD 48J,4638,Health & Science School
2243,Beaverton SD 48J,1184,Highland Park Middle School
2243,Beaverton SD 48J,1165,Hiteon Elementary School
2243,Beaverton SD 48J,4867,Hope Chinese Charter School
2243,Beaverton SD 48J,4474,International School of Beaverton
2243,Beaverton SD 48J,3437,Jacob Wismer Elementary School
2243,Beaverton SD 48J,1166,Kinnaman Elementary School
2243,Beaverton SD 48J,1168,McKay Elementary School
2243,Beaverton SD 48J,1169,McKinley Elementary School
2243,Beaverton SD 48J,1182,Meadow Park Middle School
2243,Beaverton SD 48J,1170,Montclair Elementary School
2243,Beaverton SD 48J,1183,Mountain View Middle School
2243,Beaverton SD 48J,5381,Mountainside High School
2243,Beaverton SD 48J,1303,Nancy Ryles Elementary School
2243,Beaverton SD 48J,1171,Oak Hills Elementary School
2243,Beaverton SD 48J,1172,Raleigh Hills Elementary School
2243,Beaverton SD 48J,1173,Raleigh Park Elementary School
2243,Beaverton SD 48J,1174,Ridgewood Elementary School
2243,Beaverton SD 48J,1175,Rock Creek Elementary School
2243,Beaverton SD 48J,5382,Sato Elementary School
2243,Beaverton SD 48J,2781,Scholls Heights Elementary School
2243,Beaverton SD 48J,1314,School of Science & Technology
2243,Beaverton SD 48J,1671,Serendipity
2243,Beaverton SD 48J,1270,Sexton Mountain Elementary School
2243,Beaverton SD 48J,2783,Southridge High School
2243,Beaverton SD 48J,4712,Springville K-8 School
2243,Beaverton SD 48J,2782,Stoller Middle School
2243,Beaverton SD 48J,1188,Sunset High School
2243,Beaverton SD 48J,1176,Terra Linda Elementary School
2243,Beaverton SD 48J,1177,Vose Elementary School
2243,Beaverton SD 48J,1178,West Tualatin View Elementary School
2243,Beaverton SD 48J,1320,Westview High School
2243,Beaverton SD 48J,1185,Whitford Middle School
2243,Beaverton SD 48J,1179,William Walker Elementary School
1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elementary School
1976,Bend-LaPine Administrative SD 1,241,Bear Creek Elementary School
1976,Bend-LaPine Administrative SD 1,2916,Bend COIC Dropout Re-engagement Program
1976,Bend-LaPine Administrative SD 1,5309,Bend International School
1976,Bend-LaPine Administrative SD 1,251,Bend Senior High School
1976,Bend-LaPine Administrative SD 1,1976,Bend-LaPine Administrative SD 1
1976,Bend-LaPine Administrative SD 1,250,Buckingham Elementary School
1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School
1976,Bend-LaPine Administrative SD 1,5384,Desert Sky Montessori
1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School
1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School
1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School
1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School
1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School
1976,Bend-LaPine Administrative SD 1,4290,J Bar J Learning Centers - Boys Ranch Campus
1976,Bend-LaPine Administrative SD 1,1448,J Bar J Learning Centers - Sisters Academy Campus
1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School
1976,Bend-LaPine Administrative SD 1,4262,La Pine COIC Dropout Re-engagement Program
1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School
1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School
1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School
1976,Bend-LaPine Administrative SD 1,1317,Lava Ridge Elementary School
1976,Bend-LaPine Administrative SD 1,1338,Marshall High School
1976,Bend-LaPine Administrative SD 1,252,Mountain View Senior High School
1976,Bend-LaPine Administrative SD 1,3662,Oregon Youth Challenge
1976,Bend-LaPine Administrative SD 1,5292,Pacific Crest Middle School
1976,Bend-LaPine Administrative SD 1,249,Pilot Butte Middle School
1976,Bend-LaPine Administrative SD 1,3947,Pine Ridge Elementary
1976,Bend-LaPine Administrative SD 1,4646,Ponderosa Elementary
1976,Bend-LaPine Administrative SD 1,247,R E Jewell Elementary School
1976,Bend-LaPine Administrative SD 1,5428,Realms High School
1976,Bend-LaPine Administrative SD 1,3448,Realms Middle School
1976,Bend-LaPine Administrative SD 1,4793,Rosland Elementary
1976,Bend-LaPine Administrative SD 1,5293,Silver Rail Elementary School
1976,Bend-LaPine Administrative SD 1,3217,Sky View Middle School
1976,Bend-LaPine Administrative SD 1,5429,Skyline High School
1976,Bend-LaPine Administrative SD 1,3216,Summit High School
1976,Bend-LaPine Administrative SD 1,1266,Three Rivers Elementary School
1976,Bend-LaPine Administrative SD 1,3221,Westside Village Magnet School at Kingston Elementary School
1976,Bend-LaPine Administrative SD 1,4680,William E Miller Elementary
2088,Bethel SD 52,2088,Bethel SD 52
2088,Bethel SD 52,4717,Bridgeway House
2088,Bethel SD 52,581,Cascade Middle School
2088,Bethel SD 52,582,Clear Lake Elementary School
2088,Bethel SD 52,583,Danebo Elementary School
2088,Bethel SD 52,584,Fairfield Elementary School
2088,Bethel SD 52,585,Irving Elementary School
2088,Bethel SD 52,1792,Jasper Mountain Center
2088,Bethel SD 52,3566,Kalapuya High School
2088,Bethel SD 52,3545,Looking Glass Center Point School
2088,Bethel SD 52,1532,Looking Glass Riverfront School & Career Center
2088,Bethel SD 52,586,Malabon Elementary School
2088,Bethel SD 52,2264,Meadow View School
2088,Bethel SD 52,3760,Pathways Girls Program
2088,Bethel SD 52,3567,Prairie Mountain School
2088,Bethel SD 52,1789,SAFE Center School
2088,Bethel SD 52,587,Shasta Middle School
2088,Bethel SD 52,1545,Wellsprings Friends School
2088,Bethel SD 52,588,Willamette High School
2095,Blachly SD 90,3401,Triangle Lake Charter School
2052,Black Butte SD 41,428,Black Butte Elementary School
1974,Brookings-Harbor SD 17C,235,Azalea Middle School
1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School
1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School
1896,Burnt River SD 30J,3347,Burnt River School
2046,Butte Falls SD 91,406,Butte Falls Charter School
1995,Camas Valley SD 21J,3400,Camas Valley School
1929,Canby SD 86,4434,Baker Prairie Middle School
1929,Canby SD 86,140,Canby High School
1929,Canby SD 86,1929,Canby SD 86
1929,Canby SD 86,92,Carus School
1929,Canby SD 86,1307,Cecile Trost Elementary School
1929,Canby SD 86,124,Howard Eccles Elementary School
1929,Canby SD 86,127,Ninety-One School
1929,Canby SD 86,4435,Philander Lee Elementary School
1929,Canby SD 86,122,William Knight Elementary School
2139,Cascade SD 5,719,Aumsville Elementary School
2139,Cascade SD 5,810,Cascade Junior High School
2139,Cascade SD 5,5380,Cascade Opportunity Center
2139,Cascade SD 5,811,Cascade Senior High School
2139,Cascade SD 5,806,Cloverdale Elementary School
2139,Cascade SD 5,790,Turner Elementary School
2185,Centennial SD 28J,3649,Butler Creek Elementary School
2185,Centennial SD 28J,967,Centennial High School
2185,Centennial SD 28J,960,Centennial Middle School
2185,Centennial SD 28J,1367,Centennial Park School
2185,Centennial SD 28J,2185,Centennial SD 28J
2185,Centennial SD 28J,959,Meadows Elementary
2185,Centennial SD 28J,962,Oliver Elementary School
2185,Centennial SD 28J,5268,Open School East
2185,Centennial SD 28J,963,Parklane Elementary School
2185,Centennial SD 28J,964,Patrick Lynch Elementary
2185,Centennial SD 28J,966,Pleasant Valley Elementary School
2185,Centennial SD 28J,1885,Portland Youth Builders
2185,Centennial SD 28J,965,Powell Butte Elementary School
2185,Centennial SD 28J,1671,Serendipity
1972,Central Curry SD 1,239,Gold Beach High School
1972,Central Curry SD 1,231,Riley Creek Elementary School
2105,Central Linn SD 552,1311,Central Linn Elementary School
2105,Central Linn SD 552,687,Central Linn High School
2042,Central Point SD 6,382,Central Point Elementary School
2042,Central Point SD 6,2042,Central Point SD 6
2042,Central Point SD 6,4557,Crater Academy of Health and Public Services
2042,Central Point SD 6,4561,Crater Renaissance Academy
2042,Central Point SD 6,4559,Crater School of Business Innovation and Science
2042,Central Point SD 6,387,Hanby Middle School
2042,Central Point SD 6,383,Jewett Elementary School
2042,Central Point SD 6,384,Patrick Elementary School
2042,Central Point SD 6,385,Richardson Elementary School
2042,Central Point SD 6,386,Sams Valley Elementary School
2042,Central Point SD 6,388,Scenic Middle School
2191,Central SD 13J,3464,Ash Creek Elementary School
2191,Central SD 13J,1002,Central High School
2191,Central SD 13J,998,Independence Elementary School
2191,Central SD 13J,999,Monmouth Elementary School
2191,Central SD 13J,1001,Talmadge Middle School
1902,Clackamas ESD,1902,Clackamas ESD
1945,Clatskanie SD 6J,163,Clatskanie Elementary School
1945,Clatskanie SD 6J,168,Clatskanie Middle/High School
1927,Colton SD 53,103,Colton Elementary School
1927,Colton SD 53,104,Colton High School
1927,Colton SD 53,1248,Colton Middle School
2006,Condon SD 25J,325,Condon Elementary School
2006,Condon SD 25J,326,Condon High School
1965,Coos Bay SD 9,192,Blossom Gulch Elementary School
1965,Coos Bay SD 9,1965,Coos Bay SD 9
1965,Coos Bay SD 9,3227,Destinations Academy
1965,Coos Bay SD 9,3615,Lighthouse Charter School
1965,Coos Bay SD 9,196,Madison Elementary School
1965,Coos Bay SD 9,201,Marshfield Senior High School
1965,Coos Bay SD 9,197,Millicoma School
1965,Coos Bay SD 9,4079,Resource Link Charter School
1965,Coos Bay SD 9,199,Sunset School
1964,Coquille SD 8,191,Coquille Junior Senior High
1964,Coquille SD 8,1964,Coquille SD 8
1964,Coquille SD 8,4025,Coquille Valley Elementary
1964,Coquille SD 8,189,Lincoln School of Early Learning
1964,Coquille SD 8,4857,Winter Lakes School
2186,Corbett SD 39,4592,Corbett School
2186,Corbett SD 39,2186,Corbett SD 39
1901,Corvallis SD 509J,27,Adams Elementary School
1901,Corvallis SD 509J,28,Cheldelin Middle School
1901,Corvallis SD 509J,40,Corvallis High School
1901,Corvallis SD 509J,1901,Corvallis SD 509J
1901,Corvallis SD 509J,41,Crescent Valley High School
1901,Corvallis SD 509J,1322,Franklin School
1901,Corvallis SD 509J,30,Garfield Elementary School
1901,Corvallis SD 509J,33,Hoover Elementary School
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School 
1901,Corvallis SD 509J,35,Jefferson Elementary School
1901,Corvallis SD 509J,36,Lincoln Elementary School
1901,Corvallis SD 509J,38,Linus Pauling Middle School
1901,Corvallis SD 509J,37,Mt View Elementary School
1901,Corvallis SD 509J,39,Wilson Elementary School
1901,Corvallis SD 509J,1874,YES House Alternative School
2216,Cove SD 15,3434,Cove Charter School
2086,Creswell SD 40,570,Creslane Elementary School
2086,Creswell SD 40,572,Creswell High School
2086,Creswell SD 40,571,Creswell Middle School
2086,Creswell SD 40,2086,Creswell SD 40
1970,Crook County SD,5302,Barnes Butte Elementary
1970,Crook County SD,265,Brothers Elementary School
1970,Crook County SD,225,Crook County High School
1970,Crook County SD,224,Crook County Middle School
1970,Crook County SD,1970,Crook County SD
1970,Crook County SD,219,Crooked River Elementary School
1970,Crook County SD,222,Paulina School
1970,Crook County SD,4392,Pioneer Secondary Alternative High School
1970,Crook County SD,223,Powell Butte Community Charter School
1970,Crook County SD,2915,Prineville COIC Dropout Re-engagement Program
2089,Crow-Applegate-Lorane SD 66,589,Applegate Elementary School
2089,Crow-Applegate-Lorane SD 66,592,Crow Middle/High School
2050,Culver SD 4,425,Culver Elementary School
2050,Culver SD 4,426,Culver High School
2050,Culver SD 4,1295,Culver Middle School
2190,Dallas SD 2,5298,Dallas Community Charter
2190,Dallas SD 2,995,Dallas High School
2190,Dallas SD 2,2190,Dallas SD 2
2190,Dallas SD 2,994,LaCreole Middle School
2190,Dallas SD 2,3461,Luckiamute Valley Charter School
2190,Dallas SD 2,989,Lyle Elementary School
2190,Dallas SD 2,990,Oakdale Heights Elementary School
2190,Dallas SD 2,1260,Polk ADTC
2190,Dallas SD 2,993,Whitworth Elementary School
2187,David Douglas SD 40,980,Alice Ott Middle School
2187,David Douglas SD 40,3580,Arthur Academy
2187,David Douglas SD 40,972,Cherry Park Elementary School
2187,David Douglas SD 40,983,David Douglas High School
2187,David Douglas SD 40,2187,David Douglas SD 40
2187,David Douglas SD 40,3525,Earl Boyles Elementary
2187,David Douglas SD 40,981,Floyd Light Middle School
2187,David Douglas SD 40,973,Gilbert Heights Elementary School
2187,David Douglas SD 40,974,Gilbert Park Elementary School
2187,David Douglas SD 40,975,Lincoln Park Elementary School
2187,David Douglas SD 40,976,Menlo Park Elementary School
2187,David Douglas SD 40,977,Mill Park Elementary School
2187,David Douglas SD 40,1885,Portland Youth Builders
2187,David Douglas SD 40,4232,Ron Russell Middle School
2187,David Douglas SD 40,1671,Serendipity
2187,David Douglas SD 40,978,Ventura Park Elementary School
2187,David Douglas SD 40,979,West Powellhurst Elementary School
2253,Dayton SD 8,1211,Dayton Grade School
2253,Dayton SD 8,1212,Dayton High School
2253,Dayton SD 8,1291,Dayton Jr High School
2011,Dayville SD 16J,3353,Dayville School
2017,Diamond SD 7,348,Diamond Elementary School
2021,Double O SD 28,352,Double O Elementary School
1993,Douglas County SD 15,3348,Days Creek Charter School
1991,Douglas County SD 4,1991,Douglas County SD 4
1991,Douglas County SD 4,269,Eastwood Elementary School
1991,Douglas County SD 4,270,Fir Grove Elementary School
1991,Douglas County SD 4,271,Fullerton IV Elementary School
1991,Douglas County SD 4,272,Green Elementary School
1991,Douglas County SD 4,273,Hucrest Elementary School
1991,Douglas County SD 4,278,John C Fremont Middle School
1991,Douglas County SD 4,279,Joseph Lane Middle School
1991,Douglas County SD 4,274,Melrose Elementary School
1991,Douglas County SD 4,4391,Phoenix School
1991,Douglas County SD 4,4511,Phoenix School of Roseburg - Deer Creek
1991,Douglas County SD 4,5398,Rose School
1991,Douglas County SD 4,280,Roseburg High School
1991,Douglas County SD 4,276,Sunnyslope Elementary School
1991,Douglas County SD 4,277,Winchester Elementary
1980,Douglas ESD,1250,Therapeutic Learning Center
2019,Drewsey SD 13,350,Drewsey Elementary School
2229,Dufur SD 29,3402,Dufur School
2043,Eagle Point SD 9,5251,Crater Lake Charter Academy
2043,Eagle Point SD 9,397,Eagle Point High School
2043,Eagle Point SD 9,396,Eagle Point Middle School
2043,Eagle Point SD 9,2043,Eagle Point SD 9
2043,Eagle Point SD 9,4020,Eagle Rock Elementary School
2043,Eagle Point SD 9,390,Hillside Elementary
2043,Eagle Point SD 9,3147,Lake Creek Learning Center
2043,Eagle Point SD 9,393,Shady Cove School
2043,Eagle Point SD 9,394,Table Rock Elementary
2043,Eagle Point SD 9,4378,URCEO-Upper Rogue Center for Educational Opportunities
2043,Eagle Point SD 9,4021,White Mountain Middle School
2203,Echo SD 5,3433,Echo School
2217,Elgin SD 23,1083,Elgin High School
2217,Elgin SD 23,1082,Stella Mayfield Elementary School
1998,Elkton SD 34,302,Elkton Charter School
2221,Enterprise SD 21,1090,Enterprise Elementary School
2221,Enterprise SD 21,1091,Enterprise High School
1930,Estacada SD 108,131,Clackamas River Elementary School
1930,Estacada SD 108,135,Estacada High School
1930,Estacada SD 108,134,Estacada Middle School
1930,Estacada SD 108,1930,Estacada SD 108
1930,Estacada SD 108,132,River Mill Elementary School
1930,Estacada SD 108,4760,Summit Community College High School
1930,Estacada SD 108,4670,Summit Learning Charter
2082,Eugene SD 4J,503,Adams Elementary School
2082,Eugene SD 4J,4554,Arts and Technology Academy at Jefferson
2082,Eugene SD 4J,504,Awbrey Park Elementary School
2082,Eugene SD 4J,4717,Bridgeway House
2082,Eugene SD 4J,1241,Buena Vista Elementary School
2082,Eugene SD 4J,506,Cal Young Middle School
2082,Eugene SD 4J,4739,Camas Ridge Community Elementary 
2082,Eugene SD 4J,4146,Cesar Chavez Elementary School
2082,Eugene SD 4J,1240,Charlemagne French Immersion Elementary School
2082,Eugene SD 4J,5408,Chinese Language Immersion School
2082,Eugene SD 4J,540,Churchill High School
2082,Eugene SD 4J,507,Coburg Community Charter School
2082,Eugene SD 4J,1242,Corridor Elementary School
2082,Eugene SD 4J,1774,Edgewood Community Elementary School
2082,Eugene SD 4J,510,Edison Elementary School
2082,Eugene SD 4J,537,Eugene Education Options
2082,Eugene SD 4J,2082,Eugene SD 4J
2082,Eugene SD 4J,1339,Family School
2082,Eugene SD 4J,513,Gilham Elementary School
2082,Eugene SD 4J,4157,Holt Elementary School
2082,Eugene SD 4J,515,Howard Elementary School
2082,Eugene SD 4J,1792,Jasper Mountain Center
2082,Eugene SD 4J,518,Kelly Middle School
2082,Eugene SD 4J,519,Kennedy Middle School
2082,Eugene SD 4J,3545,Looking Glass Center Point School
2082,Eugene SD 4J,1532,Looking Glass Riverfront School & Career Center
2082,Eugene SD 4J,520,Madison Middle School
2082,Eugene SD 4J,522,McCornack Elementary School
2082,Eugene SD 4J,524,Monroe Middle School
2082,Eugene SD 4J,4041,Network Charter School
2082,Eugene SD 4J,1786,New Roads
2082,Eugene SD 4J,536,North Eugene High School
2082,Eugene SD 4J,3233,Ridgeline Montessori
2082,Eugene SD 4J,4811,River Road Campus
2082,Eugene SD 4J,525,River Road/El Camino del Rio Elementary School
2082,Eugene SD 4J,526,Roosevelt Middle School
2082,Eugene SD 4J,1789,SAFE Center School
2082,Eugene SD 4J,538,Sheldon High School
2082,Eugene SD 4J,539,South Eugene High School
2082,Eugene SD 4J,528,Spencer Butte Middle School
2082,Eugene SD 4J,529,Spring Creek Elementary School
2082,Eugene SD 4J,2316,Stepping Stone Lodge
2082,Eugene SD 4J,530,Twin Oaks Elementary School
2082,Eugene SD 4J,1861,Twin Rivers Charter School
2082,Eugene SD 4J,3229,Village School
2082,Eugene SD 4J,1545,Wellsprings Friends School
2082,Eugene SD 4J,534,Willagillespie Elementary School
2082,Eugene SD 4J,1259,Yujin Gakuen Elementary School
2193,Falls City SD 57,1005,Falls City Elementary School
2193,Falls City SD 57,1006,Falls City High School
2084,Fern Ridge SD 28J,4717,Bridgeway House
2084,Fern Ridge SD 28J,563,Elmira Elementary School
2084,Fern Ridge SD 28J,567,Elmira High School
2084,Fern Ridge SD 28J,564,Fern Ridge Middle School
2084,Fern Ridge SD 28J,1792,Jasper Mountain Center
2084,Fern Ridge SD 28J,3545,Looking Glass Center Point School
2084,Fern Ridge SD 28J,1532,Looking Glass Riverfront School & Career Center
2084,Fern Ridge SD 28J,566,Veneta Elementary School
2084,Fern Ridge SD 28J,1545,Wellsprings Friends School
2084,Fern Ridge SD 28J,4045,West Lane Technology Learning Center
2241,Forest Grove SD 15,1128,Cornelius Elementary School
2241,Forest Grove SD 15,1129,Dilley Elementary School
2241,Forest Grove SD 15,1130,Echo Shaw Elementary School
2241,Forest Grove SD 15,3986,Fern Hill Elementary School
2241,Forest Grove SD 15,4595,Forest Grove Community School
2241,Forest Grove SD 15,1134,Forest Grove High School
2241,Forest Grove SD 15,2241,Forest Grove SD 15
2241,Forest Grove SD 15,1132,Harvey Clarke Elementary School
2241,Forest Grove SD 15,1133,Joseph Gale Elementary School
2241,Forest Grove SD 15,1126,Neil Armstrong Middle School
2241,Forest Grove SD 15,2376,Oak Grove Academy
2241,Forest Grove SD 15,1127,Tom McCall Upper Elementary
2248,Fossil SD 21J,1205,Fossil Charter School
2020,Frenchglen SD 16,351,Frenchglen Elementary School
2020,Frenchglen SD 16,4702,Silvies River Charter School
2245,Gaston SD 511J,1194,Gaston Elementary School
2245,Gaston SD 511J,1195,Gaston Jr/Sr High School
2137,Gervais SD 1,5392,Frontier Charter Academy
2137,Gervais SD 1,776,Gervais Elementary School
2137,Gervais SD 1,808,Gervais High School
2137,Gervais SD 1,786,Gervais Middle School
2137,Gervais SD 1,4024,Samuel Brown Academy
1931,Gladstone SD 115,2407,Clackamas Community College
1931,Gladstone SD 115,4719,Gladstone Center for Children and Families
1931,Gladstone SD 115,138,Gladstone High School
1931,Gladstone SD 115,1931,Gladstone SD 115
1931,Gladstone SD 115,136,John Wetten Elementary School
1931,Gladstone SD 115,1671,Serendipity
1931,Gladstone SD 115,137,Walter L Kraxberger Middle School
2000,Glendale SD 77,307,Glendale Community Charter School
2000,Glendale SD 77,306,Glendale Elementary School
1992,Glide SD 12,282,Glide Elementary School
1992,Glide SD 12,285,Glide High School
1992,Glide SD 12,284,Glide Middle School
2054,Grants Pass SD 7,435,Allen Dale Elementary School
2054,Grants Pass SD 7,442,Grants Pass High School
2054,Grants Pass SD 7,2054,Grants Pass SD 7
2054,Grants Pass SD 7,436,Highland Elementary School
2054,Grants Pass SD 7,437,Lincoln Elementary School
2054,Grants Pass SD 7,438,North Middle School
2054,Grants Pass SD 7,1351,Parkside Elementary
2054,Grants Pass SD 7,439,Redwood Elementary School
2054,Grants Pass SD 7,440,Riverside Elementary School
2054,Grants Pass SD 7,441,South Middle School
2100,Greater Albany Public SD 8J,3950,Albany Options School
2100,Greater Albany Public SD 8J,632,Calapooia Middle School
2100,Greater Albany Public SD 8J,631,Central Elementary School
2100,Greater Albany Public SD 8J,633,Clover Ridge Elementary School
2100,Greater Albany Public SD 8J,635,Fir Grove Primary School
2100,Greater Albany Public SD 8J,2100,Greater Albany Public SD 8J
2100,Greater Albany Public SD 8J,640,Lafayette Elementary School
2100,Greater Albany Public SD 8J,641,Liberty Elementary School
2100,Greater Albany Public SD 8J,642,Memorial Middle School
2100,Greater Albany Public SD 8J,637,North Albany Elementary School
2100,Greater Albany Public SD 8J,638,North Albany Middle School
2100,Greater Albany Public SD 8J,643,Oak Elementary School
2100,Greater Albany Public SD 8J,639,Oak Grove Elementary School
2100,Greater Albany Public SD 8J,636,Periwinkle Elementary School
2100,Greater Albany Public SD 8J,650,South Albany High School
2100,Greater Albany Public SD 8J,645,South Shore Elementary School
2100,Greater Albany Public SD 8J,644,Sunrise Elementary School
2100,Greater Albany Public SD 8J,647,Takena Elementary School
2100,Greater Albany Public SD 8J,646,Tangent Elementary School
2100,Greater Albany Public SD 8J,4744,Timber Ridge School
2100,Greater Albany Public SD 8J,648,Waverly Elementary School
2100,Greater Albany Public SD 8J,649,West Albany High School
2183,Gresham-Barlow SD 10J,3553,Center for Advanced Learning
2183,Gresham-Barlow SD 10J,1312,Clear Creek Middle School
2183,Gresham-Barlow SD 10J,90,Deep Creek – Damascus K-8 School
2183,Gresham-Barlow SD 10J,932,Dexter McCarty Middle School
2183,Gresham-Barlow SD 10J,933,East Gresham Elementary School
2183,Gresham-Barlow SD 10J,941,East Orient Elementary School
2183,Gresham-Barlow SD 10J,934,Gordon Russell Middle School
2183,Gresham-Barlow SD 10J,4601,Gresham Arthur Academy
2183,Gresham-Barlow SD 10J,986,Gresham High School
